Time,Open,High,Low,Close,Volume
2026-03-29 15:01:19.308,6380.0000,6388.2500,6372.0000,6378.2500,4356
2026-03-29 15:03:50.244,6378.5000,6385.5000,6375.0000,6375.2500,2862
2026-03-29 15:06:07.340,6375.2500,6376.5000,6366.0000,6368.0000,2884
2026-03-29 15:09:55.124,6368.2500,6373.5000,6364.2500,6369.2500,2656
2026-03-29 15:15:14.804,6369.2500,6378.7500,6368.0000,6377.5000,2559
2026-03-29 15:21:23.400,6377.7500,6385.2500,6375.7500,6383.7500,2587
2026-03-29 15:28:30.580,6383.7500,6387.5000,6377.5000,6383.2500,2477
2026-03-29 15:40:40.676,6383.2500,6385.5000,6379.0000,6380.2500,2285
2026-03-29 15:47:00.052,6380.2500,6381.2500,6367.7500,6371.7500,2385
2026-03-29 15:57:15.892,6371.7500,6379.7500,6370.2500,6379.7500,2300
2026-03-29 16:04:05.724,6379.7500,6387.0000,6379.7500,6385.2500,2334
2026-03-29 16:11:39.080,6385.0000,6386.5000,6374.0000,6374.7500,2504
2026-03-29 16:26:41.852,6374.7500,6379.5000,6373.7500,6375.0000,2287
2026-03-29 16:36:12.888,6375.0000,6375.7500,6367.0000,6369.5000,2385
2026-03-29 16:46:56.580,6369.5000,6375.2500,6368.7500,6368.7500,2545
2026-03-29 16:50:41.564,6368.7500,6374.5000,6364.7500,6367.0000,2335
2026-03-29 16:56:42.392,6366.7500,6373.5000,6363.0000,6363.0000,2242
2026-03-29 17:00:57.028,6363.0000,6371.5000,6363.0000,6367.5000,2227
2026-03-29 17:05:27.228,6367.5000,6368.2500,6360.2500,6366.7500,2295
2026-03-29 17:09:55.080,6366.7500,6373.5000,6366.0000,6366.5000,2340
2026-03-29 17:16:08.380,6366.7500,6370.7500,6365.5000,6366.0000,2270
2026-03-29 17:18:21.192,6366.0000,6375.7500,6363.7500,6372.7500,2320
2026-03-29 17:19:41.128,6372.7500,6383.5000,6370.0000,6382.7500,2356
2026-03-29 17:20:45.268,6382.7500,6394.0000,6382.7500,6388.5000,2297
2026-03-29 17:23:10.796,6388.5000,6390.0000,6381.0000,6382.7500,2287
2026-03-29 17:26:27.504,6382.7500,6385.0000,6379.0000,6384.7500,2363
2026-03-29 17:28:05.484,6384.7500,6395.0000,6383.5000,6391.2500,2355
2026-03-29 17:31:31.632,6391.0000,6392.5000,6381.5000,6383.0000,2394
2026-03-29 17:37:08.288,6382.7500,6389.2500,6381.5000,6386.7500,2409
2026-03-29 17:40:19.968,6386.7500,6386.7500,6372.7500,6372.7500,2731
2026-03-29 17:45:53.744,6372.7500,6374.5000,6368.2500,6370.2500,2497
2026-03-29 17:52:53.136,6370.5000,6374.5000,6366.5000,6368.0000,2272
2026-03-29 18:00:03.612,6368.0000,6372.5000,6363.0000,6372.5000,2417
2026-03-29 18:05:04.308,6372.2500,6376.2500,6370.0000,6372.2500,2225
2026-03-29 18:11:46.264,6372.2500,6379.5000,6370.7500,6377.0000,2185
2026-03-29 18:19:23.528,6377.0000,6378.5000,6368.2500,6371.5000,2201
2026-03-29 18:27:28.144,6371.5000,6375.7500,6369.2500,6372.7500,2165
2026-03-29 18:34:18.120,6372.7500,6379.7500,6372.2500,6379.0000,2465
2026-03-29 18:40:29.940,6379.0000,6382.2500,6376.7500,6380.0000,2285
2026-03-29 18:47:59.236,6380.0000,6384.5000,6379.0000,6383.7500,2878
2026-03-29 18:59:14.940,6383.7500,6385.7500,6381.0000,6383.2500,2527
2026-03-29 19:06:46.352,6383.7500,6388.5000,6383.2500,6388.5000,2351
2026-03-29 19:14:38.436,6388.5000,6389.7500,6384.7500,6386.2500,4203
2026-03-29 19:23:29.932,6386.2500,6388.7500,6380.7500,6382.0000,2505
2026-03-29 19:33:14.196,6382.0000,6388.0000,6380.2500,6383.7500,2460
2026-03-29 19:45:29.200,6383.7500,6393.7500,6382.2500,6392.0000,3088
2026-03-29 19:49:46.508,6392.0000,6400.7500,6391.7500,6400.7500,2769
2026-03-29 19:55:25.172,6400.7500,6402.0000,6396.7500,6397.0000,2280
2026-03-29 20:06:38.836,6397.0000,6402.2500,6395.0000,6402.2500,2294
2026-03-29 20:12:50.360,6402.2500,6407.5000,6402.0000,6405.0000,2385
2026-03-29 20:22:17.988,6405.0000,6409.7500,6403.5000,6408.2500,2391
2026-03-29 20:31:56.944,6408.5000,6410.7500,6405.0000,6406.5000,2376
2026-03-29 20:46:10.496,6406.5000,6409.2500,6405.0000,6406.0000,2260
2026-03-29 21:00:08.984,6406.0000,6409.2500,6404.5000,6409.0000,2228
2026-03-29 21:11:37.976,6409.0000,6413.2500,6406.2500,6411.2500,2536
2026-03-29 21:27:03.132,6411.2500,6416.7500,6409.7500,6416.5000,2479
2026-03-29 21:38:32.808,6416.5000,6419.0000,6413.0000,6414.5000,2450
2026-03-29 21:57:03.068,6414.5000,6415.2500,6409.2500,6411.7500,2290
2026-03-29 22:10:41.696,6412.0000,6420.7500,6411.2500,6419.0000,2696
2026-03-29 22:26:15.772,6419.0000,6420.0000,6414.5000,6416.5000,2273
2026-03-29 22:42:13.516,6416.5000,6420.2500,6413.5000,6415.2500,2219
2026-03-29 22:56:48.900,6415.2500,6419.5000,6412.0000,6417.7500,2267
2026-03-29 23:07:15.140,6417.7500,6422.7500,6415.2500,6422.7500,2326
2026-03-29 23:19:00.360,6422.7500,6424.0000,6417.7500,6422.5000,2405
2026-03-29 23:26:33.240,6422.5000,6427.2500,6420.7500,6426.7500,2671
2026-03-29 23:37:14.996,6426.7500,6426.7500,6421.5000,6425.5000,2315
2026-03-29 23:45:38.756,6425.5000,6430.2500,6424.2500,6429.5000,2383
2026-03-29 23:51:24.812,6429.5000,6435.5000,6428.5000,6435.0000,2709
2026-03-30 00:00:10.144,6435.0000,6435.0000,6427.5000,6428.2500,2462
2026-03-30 00:05:02.980,6428.2500,6429.2500,6423.5000,6425.5000,2235
2026-03-30 00:13:32.016,6425.5000,6433.2500,6424.0000,6430.2500,2249
2026-03-30 00:23:21.100,6430.5000,6432.0000,6426.5000,6428.2500,2474
2026-03-30 00:32:12.324,6428.5000,6430.7500,6423.7500,6427.2500,2459
2026-03-30 00:36:31.804,6427.2500,6434.7500,6422.7500,6430.7500,2383
2026-03-30 00:44:15.464,6430.7500,6432.5000,6426.7500,6429.2500,2465
2026-03-30 00:52:02.844,6429.2500,6438.0000,6428.7500,6436.2500,2244
2026-03-30 01:00:07.452,6436.2500,6437.7500,6432.5000,6433.0000,2610
2026-03-30 01:06:47.408,6432.5000,6439.7500,6429.2500,6436.0000,2387
2026-03-30 01:12:36.724,6436.2500,6440.5000,6432.2500,6440.0000,2493
2026-03-30 01:18:47.476,6440.0000,6444.0000,6438.0000,6441.5000,2428
2026-03-30 01:25:13.292,6441.5000,6443.0000,6438.0000,6438.0000,2533
2026-03-30 01:31:40.720,6438.0000,6445.0000,6437.5000,6445.0000,2504
2026-03-30 01:38:03.412,6445.0000,6446.0000,6439.7500,6445.0000,2345
2026-03-30 01:43:27.152,6445.0000,6446.5000,6440.5000,6441.0000,2545
2026-03-30 01:51:05.836,6441.0000,6445.5000,6438.2500,6444.7500,2425
2026-03-30 01:59:17.192,6444.7500,6447.2500,6442.2500,6446.5000,2649
2026-03-30 02:08:56.332,6446.5000,6447.2500,6442.7500,6444.0000,2500
2026-03-30 02:15:48.820,6444.2500,6444.7500,6436.0000,6436.0000,2466
2026-03-30 02:17:50.784,6436.0000,6444.2500,6433.5000,6443.5000,2705
2026-03-30 02:25:40.112,6443.5000,6443.5000,6435.5000,6438.5000,2553
2026-03-30 02:35:34.264,6438.5000,6439.7500,6432.5000,6432.5000,2386
2026-03-30 02:42:33.936,6432.5000,6440.5000,6432.0000,6437.2500,2517
2026-03-30 02:50:04.108,6437.2500,6437.7500,6434.0000,6434.7500,2495
2026-03-30 02:56:36.836,6434.7500,6439.0000,6433.5000,6436.5000,2621
2026-03-30 03:05:49.700,6436.2500,6438.2500,6433.7500,6437.7500,2489
2026-03-30 03:14:27.564,6437.7500,6440.5000,6434.5000,6436.0000,2752
2026-03-30 03:23:38.928,6436.0000,6440.0000,6434.2500,6439.7500,2653
2026-03-30 03:32:01.060,6439.7500,6441.7500,6434.7500,6436.5000,2478
2026-03-30 03:38:36.708,6436.5000,6439.2500,6433.7500,6434.2500,2594
2026-03-30 03:49:19.000,6434.2500,6439.0000,6432.7500,6438.2500,2486
2026-03-30 03:58:40.948,6438.2500,6442.7500,6437.5000,6441.2500,2655
2026-03-30 04:02:16.372,6441.2500,6446.7500,6440.2500,6444.5000,2874
2026-03-30 04:09:59.224,6444.5000,6446.0000,6442.5000,6444.7500,2559
2026-03-30 04:17:30.356,6444.7500,6446.5000,6442.5000,6446.2500,2901
2026-03-30 04:19:12.220,6446.2500,6451.0000,6446.2500,6450.0000,3433
2026-03-30 04:22:29.116,6450.0000,6452.5000,6448.5000,6451.2500,2847
2026-03-30 04:26:48.220,6451.2500,6459.0000,6450.7500,6459.0000,2843
2026-03-30 04:26:52.280,6459.0000,6481.7500,6459.0000,6472.2500,2715
2026-03-30 04:26:59.408,6472.2500,6481.5000,6452.5000,6452.5000,2440
2026-03-30 04:27:14.948,6452.5000,6459.0000,6449.2500,6455.2500,2370
2026-03-30 04:27:41.908,6455.2500,6467.5000,6454.5000,6457.7500,2464
2026-03-30 04:28:15.184,6457.7500,6458.7500,6445.2500,6449.0000,2722
2026-03-30 04:29:34.588,6448.7500,6457.0000,6448.2500,6456.0000,2950
2026-03-30 04:30:47.524,6456.0000,6461.5000,6454.0000,6455.0000,2870
2026-03-30 04:31:51.784,6455.0000,6458.0000,6450.0000,6451.7500,2604
2026-03-30 04:33:51.648,6451.7500,6457.0000,6447.5000,6449.5000,2768
2026-03-30 04:35:39.192,6449.5000,6456.7500,6446.5000,6454.0000,2771
2026-03-30 04:39:00.020,6454.0000,6456.0000,6450.2500,6452.5000,2803
2026-03-30 04:42:49.400,6452.5000,6453.5000,6449.0000,6451.7500,2463
2026-03-30 04:46:41.296,6451.7500,6454.2500,6449.7500,6452.7500,2699
2026-03-30 04:51:47.384,6452.7500,6456.5000,6450.2500,6455.2500,2552
2026-03-30 04:55:36.336,6455.2500,6455.2500,6449.0000,6451.7500,2905
2026-03-30 05:00:29.408,6451.7500,6451.7500,6446.2500,6449.7500,2582
2026-03-30 05:04:21.804,6449.7500,6449.7500,6442.7500,6447.0000,2700
2026-03-30 05:10:02.108,6447.0000,6453.5000,6446.5000,6449.5000,2580
2026-03-30 05:16:03.660,6449.5000,6453.5000,6449.0000,6451.7500,2716
2026-03-30 05:19:58.084,6451.7500,6458.0000,6450.0000,6456.5000,3090
2026-03-30 05:24:41.052,6456.5000,6460.5000,6454.0000,6460.0000,2864
2026-03-30 05:27:09.500,6460.0000,6463.2500,6458.7500,6461.2500,3102
2026-03-30 05:31:12.852,6461.5000,6464.0000,6459.0000,6461.5000,2839
2026-03-30 05:34:07.104,6461.5000,6466.5000,6461.5000,6464.7500,2782
2026-03-30 05:37:32.984,6464.7500,6465.2500,6462.2500,6463.7500,2812
2026-03-30 05:41:44.076,6463.7500,6465.0000,6462.2500,6462.5000,2429
